tragicomedia	comedia cinematográfica
sátrapa	líder
tierra	cuerpo celeste
ellington	municipio
lutecio	elemento metálico
aneurisma cerebral	patología
japonés	persona
tormenta	agua pluvial
vinagreta	salsa
winston churchill	escritora
tafetán	tela
lynch mob	agrupación musical
pavimento	economía laboral
ágata	cuarzo
garfield	gato
los andes	estación de trenes
camiseta	vestuario
tutú	indumentaria
winston churchill	fuerzas armadas
cáñamo	fibra natural
francesc homs	persona
luis de góngora	poeta
cannabis	droga
chubasco	líquido
schiaparelli	astroblema
sesto	población urbana
sake	droga
tormenta	condición atmosférica
samba	obra musical
cimetidina	compuesto
paraná	corriente
coco	eubacterium
rubén castillo	persona
cardamomo	planta
sam shepard	actor
cabra	artiodactyla
barco negrero	transporte de pasajeros
cortijo	edificación
korean air	firma
manopla	guante
ácido	alucinógeno
inocencio iv	cabeza
robo	persona
acera	infraestructura
fabulista	orador
enna	entidad territorial
insignia	bandera
mantequilla de maní	emulsificación
francis hopkinson	togado
placa	afección
robert lowell	autor
alicante	zona metropolitana
júpiter	monarca
río hudson	masa de agua
cumbre	encuentro
cañón	misil
dado	cubo
stanford	metrópoli
naranjito	ciudad
carro	coche
paraná	urbe
cádiz	urbe
puffinus	pájaro
olla	recinto
cereal	césped
zumo	fluido
pancarta	bandera
estación de autobús	edificio
lucio cornelio sila	oficial
ají	vegetal
golfo de méxico	lago salado
compensación	costo
pena de muerte	juicio
maracay	área urbana
erosión	disminución
cielo	espacio
asentamiento	centro urbano
teniente primero	teniente de navío
farol	candil
vehículo blindado	medio de transporte
doncella	criada
piel de nutria	producto animal
cantautor	instrumentista
jet	transporte
japonés	lengua
tormenta	líquido
sefardí	lengua romance
oliver hazard perry	oficial
cachorro	animal doméstico
stanley kubrick	persona
macbeth	composición dramática
cigüeñuela	vertebrado
flapper	jovencita
fantoche	muñeca
golfo de méxico	cuenca hidrográfica
ponce de león	urbe
diarrea	patología
winston churchill	dueño
alicante	municipio
cerilla	mechero
unión soviética	federación
vicepresidente	convocante
tormenta	tiempo atmosférico
judas iscariote	discípulo
webcam	cámara
silla	apoyo
jade	joya
nieve	compuesto
soldador	herramienta de mano
rtve	compañía
cabrilla	animal
grevillea	spermatophyta
chubasco	lluvia
guijarro	árido
disolución	mezcla
miocarditis	inflamación
linchamiento	castigo corporal
propilenglicol	anticongelante
citación	texto
explorador	programa de ordenador
encuentro	desacuerdo
cinturón	toque
zweig	escritora
virus informático	código informático
buque de guerra	barco
telencéfalo	estructura anatómica
silla	soporte
hipertensión arterial	dolencia
puente	prótesis
compensación	traspaso
cóctel	alcohol
aduana	edificación
donna summer	álbum
luis de góngora	escritor
ábside	armadura
cerivastatina	compuesto químico
pocilga	zona
plethodontidae	amphibia
jugador	competidor
risco	elevación
hemorragia	lesión
granja	hábitat
dinero fiduciario	divisa
ray bradbury	escritor
pelo de camello	paño
adivino	pseudociencia
intranet	red de información
alicia silverstone	autora
patrón	jefe
william ewart gladstone	ministra
sam shepard	escritor
heródoto	escritor
robo	comportamiento antisocial
seleccionador	autoridad
cerivastatina	fármaco
tecladista	persona
vagón de cola	vagón de ferrocarril
topología	asignatura
oclusión	molestia
jet	transporte de pasajeros
compensación	intercambio
lanza	extremo
plato	instrumento de percusión
elizabeth taylor	autor
lahar	alud de nieve
arlequín	personaje
llovizna	precipitación
gúgol	número natural
acadio	lengua extinta
parlamento	intercambio
maestro de baile	bailarín profesional
fabulista	estafador
confiscación	mandato
cartulina	embalaje
dorso	superficie
quitanieves	vehículo
icosaedro	configuración
curling	deporte de invierno
pena	estímulo
lingüística	medicina familiar
paso a nivel	cruce
halcón peregrino	ave de presa
traqueotomía	intervención
batman	comunidad
teatro apollo	teatro de variedades
farol	apariencia
cabecera	panel
aborto	conclusión
cumbre	trazo
heródoto	autor
acera	calle
basilisco	arma
fantoche	esclavo
rumor	habladuría
lusaka	comunidad
cumbre	confección
cumulonimbo	cristal
bacanal	orgía
winston churchill	sabio
judas iscariote	pastor
ovejero	animal
camisa	indumentaria
rift	abertura
barco pesquero	nave
ingreso	beneficio
ellington	población urbana
cortafuegos	red de ordenadores
desierto de gobi	extensión
luis xiv	persona
tiza	compuesto
mtv	canal de televisión
arabia saudita	estado federado
the offspring	banda de música
japonés	lengua natural
flamen	cura
mtv	cadena de televisión
pasarela	bóveda
nuez moscada	especia
hipervínculo	referencia
matriz	órgano
kublai kan	mandatario
presión atmosférica	presión
valle	depresión natural
yelmo	tocado
zaldívar	anteiglesia
tewkesbury	batalla
telencéfalo	estructura neurológica
lynch mob	banda de rock
esclusa	canal
frisón	lengua natural
bolardo	poste
ellington	zona metropolitana
sangre del dragón	compuesto
capilla	rito religioso
senador	parlamentario
catalepsia	trastorno del sueño
kruschev	autoridad
cifosis	estructura anatómica
homomorfismo	correspondencia
cyberpunk	programadora
zampoña	flauta travesera
yeso	sal química
stenocarpus	planta perenne
té	trago
canícula	período
cancha de fútbol	corral
alternador	máquina eléctrica
ovejero	animal domesticado
panadero	mercader
pedrisco	condición atmosférica
tiramisú	dulce
república federal	sistema político
bromeliaceae	tracheobionta
semáforo	imagen
sam shepard	dramaturgo
té	condimento
insignia	divisa
chaparrón	condición atmosférica
henry kissinger	escritor
coloquio	comunicación oral
energía solar	energía
paul simon	músico
reforestación	recuperación
llovizna	tiempo
dramaturgo	persona
embocadura	instrumento de viento-madera
golfo de méxico	agua
cardiopatía	enfermedad
astigmatismo	defecto visual
mezquita	árbol
folclore	ceremonia
naranjito	comunidad
dólar	moneda
doncella	muchacha
nochebuena	festividad cristiana
halo	luz
fragata	buque de guerra
campesino	mano de obra
tregua	suspensión
círculo cromático	grafo
tokio	área urbana
capilla	lugar de culto
ágata	sílice
barco pesquero	medio
fútbol club barcelona	club
acondroplasia	enfermedad
estatorreactor	combustión
halcón peregrino	rapaz
macroevolución	evolución biológica
yahoo	programa informático
sida	mal
librero	mobiliario
pavimento	infraestructura
rupia	moneda
stanford	centro administrativo
tecladista	instrumentista
ají	legumbre
panel solar	central eléctrica
aeropuerto	instalación
lynch mob	grupo de rock
francis hopkinson	líder
wakanda	lugar ficticio
homología	anatomía
ringgit	unidad monetaria
cuartel	instalación militar
ferdinand de saussure	docto
erlang	lenguaje de programación
pocilga	explotación agrícola
cruz de malta	imagen
pasarela	infraestructura
torniquete	emplasto
los beatles	banda
linchamiento	ejecución
calisto	cuerpo celeste
sake	spermatophyta
soubise	entidad territorial
sociolingüística	know-how
soubise	municipio
gamuza	piel
cordell hull	persona
cerúleo	azul claro
espectroscopia	indagación
halle	centro urbano
lahar	corrimiento de tierra
protocolo	regla
salario	traspaso
tráfico	mercado
gogol	escritor
señal de tráfico	señalética
xenofobia	odio
gran polonia	entidad territorial
fósforo	máquina
basura	chusma
cabecera	verso
carl lewis	persona
arn	ácido nucleico
cigüeñuela	sistema axiomático
lacayo	persona
caraota	vegetal
meseta	accidente geográfico
café	servicio
lona	trapo
mortero	cañón
sucursal	compañía
farol	demanda
nkvd	unidad militar
cuervo	animal
ben hogan	competidor
cabra	mamífero
sangre	investigación
afonía	afección
trampa	engaño
transporte ferroviario	transporte
plata	conductor
forja	chimenea
campesino	niño varón
julio	mes
pepinillo	angiosperma
jaime alguersuari	chofer
erlang	idioma artificial
compensación	desembolso
acondroplasia	mal
teniente primero	teniente
fragata	medio de transporte
robert graves	escritor
mirlo	vertebrado
vagón de cola	coche
macbeth	película
coleóptero	insecto
aduana	contribución
amatista	púrpura
paul simon	político
lazo	cable
comba	cordón
jugador	contendiente
cáñamo	fibra textil
ferry	medio de transporte
canal de panamá	vía marítima
garm	animal doméstico
catedral	lugar de culto
pepinillo	hortaliza
mozart	compositor
pera	facción
eca	enzima
pyongyang	aglomeración urbana
tajo	extensión de agua
tobin	vecindad
callejón	carretera
poblado	comunidad
tubo de escape	corte transversal
teherán	área metropolitana
isaac asimov	autor
perjurio	falta
lactasa	compuesto
paraguay	calle
robo	delito
vendedor	empleado
glucosa	compuesto químico
avión	golondrina
gárgola	escultura
cría de animales	producción
desierto de atacama	bioma
arthur wellesley	persona
parlamento	junta
deshielo	condición atmosférica
vehículo	viaje
pontífice	clérigo
cul-de-sac	acervo
polaris	obra literaria
frisón	lenguaje
batman	urbe
instituto	asociación
forja	horno
homicidio	acto ilegal
medias	ropa
kiwi	baya
carro	medio de transporte
bill tilden	contendiente
penique	céntimo
olla	vasija
alicante	centro urbano
samba	género musical
autonomía	independencia
camille corot	pintor
parlamento	diálogo
oclusión	acceso
teodosio i	rey
granja	comunidad
cifosis	columna vertebral
gabriel garcía márquez	escritor
quilombo	fallo
